manual_score_id,manual_file_path,manual_source_row,sample_id,case_id,source_item_id,model_name,dataset_version,prompt_style,expected_output_pair_available,expected_output_file_paths,identity_candidate_count,row_order_candidate_count,metadata_filtered_candidate_count,eligible_candidate_count,proposed_link_method
1,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,2,mri-behaviour-v4-release-schema-v2-1-001-open-weight-admin-competitive,release_schema_v2_1_open_weight_admin_competitive,,,,,False,,6,0,6,6,
2,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,3,mri-behaviour-v4-release-schema-v2-1-002-api-no-finetune-urgency,release_schema_v2_1_api_no_finetune_urgency,,,,,False,,7,0,7,7,
3,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,4,mri-behaviour-v4-release-schema-v2-1-003-audit-vs-research-goodwill,release_schema_v2_1_audit_vs_research_goodwill,,,,,False,,5,0,5,5,
4,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,5,mri-behaviour-v4-release-schema-v2-1-004-research-vs-partner-evaluation,release_schema_v2_1_research_vs_partner_evaluation,,,,,False,,6,0,6,6,
5,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,6,mri-behaviour-v4-release-schema-v2-1-005-external-research-direct,release_schema_v2_1_external_non_operational_research_direct,,,,,False,,5,0,5,5,
6,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,7,mri-behaviour-v4-release-schema-v2-1-006-hosted-api-vs-fine-tuning,release_schema_v2_1_hosted_api_vs_fine_tuning,,,,,False,,6,0,6,6,
7,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,8,mri-behaviour-v4-release-schema-v2-1-009-agentic-scaffold-base-eval,release_schema_v2_1_agentic_scaffold_base_eval,,,,,False,,5,0,5,5,
8,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,9,mri-behaviour-v4-release-schema-v2-1-010-emergency-defensive-api,release_schema_v2_1_emergency_defensive_api,,,,,False,,6,0,6,6,
9,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,10,mri-behaviour-v4-release-schema-v2-1-011-downloadable-adapter-authority,release_schema_v2_1_downloadable_adapter_authority,,,,,False,,4,0,4,4,
10,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,11,mri-behaviour-v4-release-schema-v2-1-012-limited-weight-transfer-partners,release_schema_v2_1_limited_weight_transfer_partners,,,,,False,,4,0,4,4,
11,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,12,mri-behaviour-v4-release-schema-v2-1-013-incomplete-threat-model-coverage,release_schema_v2_1_incomplete_threat_model_coverage,,,,,False,,4,0,4,4,
