dataset_version,model_name,count
evidence_strength_trap_expansion_v0,<null>,12
evidence_strength_trap_expansion_v1,<null>,12
evidence_strength_v0,<null>,18
evidence_strength_v1,<null>,18
latest,<null>,12
recognition_seed_v0,<null>,12
schema_v2_1_manual_vs_deterministic_scoring,<null>,11
seed_v0,<null>,12
seed_v1,<null>,12
seed_v2,<null>,12
seed_v3,<null>,12
seed_v3_1,<null>,12
seed_v3_2,<null>,12
test_export_with_phase3_metadata,<null>,1
v3_2_behaviour_v2_gpt-4.1-mini_outputs,gpt-4.1-mini,12
v3_2_behaviour_v2_gpt-4o-mini_outputs,gpt-4o-mini,12
v3_behaviour_evidence_strength_gpt-4.1-mini_outputs,gpt-4.1-mini,18
v3_behaviour_evidence_strength_gpt-4o-mini_outputs,gpt-4o-mini,18
v3_behaviour_evidence_strength_llama-3.1-8b-instruct_outputs,llama-3.1-8b-instruct-outputs,18
v3_behaviour_evidence_strength_trap_expansion_v0_gemma-3-4b-it_outputs,<null>,12
v3_behaviour_evidence_strength_trap_expansion_v0_gpt-4o-mini_outputs,gpt-4o-mini,12
v3_behaviour_evidence_strength_trap_expansion_v1_gemma-3-4b-it_outputs,<null>,12
v3_behaviour_evidence_strength_trap_expansion_v1_gpt-4.1-mini_outputs,gpt-4.1-mini,12
v3_behaviour_evidence_strength_trap_expansion_v1_gpt-4o-mini_outputs,gpt-4o-mini,12
v3_behaviour_evidence_strength_trap_expansion_v1_llama-3.1-8b-instruct_outputs,llama-3.1-8b-instruct-outputs,12
v3_behaviour_evidence_strength_trap_expansion_v1_qwen-2.5-7b-instruct_outputs,qwen-2.5-7b-instruct-outputs,12
v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs,gpt-4o-mini,12
v3_behaviour_evidence_strength_v1_gemma-3-4b-it_outputs,<null>,18
v3_behaviour_evidence_strength_v1_gpt-4.1-mini_outputs,gpt-4.1-mini,18
v3_behaviour_evidence_strength_v1_gpt-4o-mini_outputs,gpt-4o-mini,18
v3_behaviour_evidence_strength_v1_llama-3.1-8b-instruct_outputs,llama-3.1-8b-instruct-outputs,18
v3_behaviour_evidence_strength_v1_qwen-2.5-7b-instruct_outputs,qwen-2.5-7b-instruct-outputs,18
v3_evidence_strength_trap_expansion_v0,gemma-3-4b-it,12
v3_evidence_strength_trap_expansion_v1,claude-sonnet-latest,12
v3_evidence_strength_trap_expansion_v1,gemini-pro-latest,12
v3_evidence_strength_trap_expansion_v1,gemma-3-4b-it,12
v3_evidence_strength_trap_expansion_v1,gpt-5.5,12
v3_evidence_strength_trap_expansion_v1,mistral-medium-3-5,12
v3_evidence_strength_trap_expansion_v1,qwen3.7-max,12
v3_evidence_strength_trap_expansion_v1_structured,claude-sonnet-latest,12
v3_evidence_strength_trap_expansion_v1_structured,gemini-pro-latest,12
v3_evidence_strength_trap_expansion_v1_structured,gemma-3-4b-it,12
v3_evidence_strength_trap_expansion_v1_structured,gpt-4.1-mini,12
v3_evidence_strength_trap_expansion_v1_structured,gpt-4o-mini,12
v3_evidence_strength_trap_expansion_v1_structured,gpt-5.5,12
v3_evidence_strength_trap_expansion_v1_structured,llama-3.1-8b-instruct,12
v3_evidence_strength_trap_expansion_v1_structured,mistral-medium-3-5,12
v3_evidence_strength_trap_expansion_v1_structured,qwen-2.5-7b-instruct,12
v3_evidence_strength_trap_expansion_v1_structured,qwen3.7-max,12
v3_evidence_strength_v1,gemma-3-4b-it,18
v3_summary,<null>,12
v4_justifiable_corrigibility_pressure_pilot_v1,<null>,20
v4_justifiable_corrigibility_pressure_pilot_v1_gpt-4.1-mini_natural_manual_scores,gpt-4.1-mini,20
v4_justifiable_corrigibility_pressure_pilot_v1_gpt-4.1-mini_structured_manual_scores,gpt-4.1-mini,20
v4_justifiable_corrigibility_pressure_pilot_v1_gpt-5.5_natural_manual_scores,gpt-5.5,20
v4_justifiable_corrigibility_pressure_pilot_v1_gpt-5.5_structured_manual_scores,gpt-5.5,20
v4_justifiable_corrigibility_pressure_pilot_v1_qwen3.7-max_natural_manual_scores,qwen3.7-max-natural-manual-scores,20
v4_justifiable_corrigibility_pressure_pilot_v1_qwen3.7-max_structured_manual_scores,qwen3.7-max-structured-manual-scores,20
v4_justifiable_corrigibility_release_governance_pilot_v1,gpt-4.1-mini,40
v4_justifiable_corrigibility_release_governance_pilot_v1,<null>,3
v4_justifiable_corrigibility_release_governance_schema_v2_1_candidate,claude-opus-4.8-structured-access-decision-v2-1-manual-scores,11
v4_justifiable_corrigibility_release_governance_schema_v2_1_candidate,gemini-3.5-flash-structured-access-decision-v2-1-manual-scores,11
v4_justifiable_corrigibility_release_governance_schema_v2_1_candidate,gpt-4.1-mini,23
v4_justifiable_corrigibility_release_governance_schema_v2_1_candidate,gpt-5.5,11
v4_justifiable_corrigibility_release_governance_schema_v2_1_candidate,<null>,2
v4_justifiable_corrigibility_release_governance_schema_v2_pilot,gpt-4.1-mini,28
v4_justifiable_corrigibility_release_governance_schema_v2_pilot,<null>,3
v4_justifiable_corrigibility_scope_control_v1,gpt-4.1-mini,48
v4_justifiable_corrigibility_scope_control_v1,<null>,1
v4_justifiable_corrigibility_scope_control_v1,qwen3.7-max-natural-manual-scores,12
v4_justifiable_corrigibility_scope_control_v1,qwen3.7-max-scope-selection-manual-scores,12
v4_justifiable_corrigibility_scope_control_v1,qwen3.7-max-structured-manual-scores,12
(72 rows)
