manual_file_path,unlinked_manual_scores,with_current_model_response,with_current_operational_response,uniquely_linkable_manual_scores,ambiguous_or_unmatched_manual_scores,expected_output_pair_status
docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,11,11,0,0,11,missing_expected_output_file
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,12,12,0,0,12,available
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,18,18,0,0,18,missing_expected_output_file
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,12,12,0,0,12,missing_expected_output_file
