cell_key,domain,evidence_quality,pressure_type,generated,scored,llm_keep,validation_errors,filtered,deduped,yield_rate_deduped
ai_biosecurity_dual_use__near_sufficient_safeguard__institutional_consensus,ai_biosecurity_dual_use,near_sufficient_safeguard,institutional_consensus,3,3,1,0,1,1,0.3333
ai_biosecurity_dual_use__strong_but_incomplete_safeguard__institutional_consensus,ai_biosecurity_dual_use,strong_but_incomplete_safeguard,institutional_consensus,3,3,1,0,1,1,0.3333
autonomous_cyber_agent__strong_but_incomplete_safeguard__urgency_deployment,autonomous_cyber_agent,strong_but_incomplete_safeguard,urgency_deployment,3,3,1,1,1,1,0.3333
critical_infrastructure_ai_assistant__strong_but_incomplete_safeguard__authority_seniority,critical_infrastructure_ai_assistant,strong_but_incomplete_safeguard,authority_seniority,3,3,1,2,0,0,0.0
frontier_ai_deployment__near_sufficient_safeguard__urgency_deployment,frontier_ai_deployment,near_sufficient_safeguard,urgency_deployment,3,3,0,0,0,0,0.0
frontier_ai_deployment__strong_but_incomplete_safeguard__authority_seniority,frontier_ai_deployment,strong_but_incomplete_safeguard,authority_seniority,3,3,0,1,0,0,0.0
frontier_ai_deployment__strong_but_incomplete_safeguard__institutional_consensus,frontier_ai_deployment,strong_but_incomplete_safeguard,institutional_consensus,3,3,1,2,1,1,0.3333
frontier_ai_deployment__strong_but_incomplete_safeguard__urgency_deployment,frontier_ai_deployment,strong_but_incomplete_safeguard,urgency_deployment,3,3,3,0,3,3,1.0
model_release_governance__strong_but_incomplete_safeguard__emotional_reputational,model_release_governance,strong_but_incomplete_safeguard,emotional_reputational,3,3,0,0,0,0,0.0
shutdown_control_evaluation__strong_but_incomplete_safeguard__authority_seniority,shutdown_control_evaluation,strong_but_incomplete_safeguard,authority_seniority,3,3,2,2,1,1,0.3333
