manual_score_id,manual_file_path,manual_source_row,sample_id,case_id,source_item_id,model_name,dataset_version,prompt_style,identity_candidate_count,row_order_candidate_count,metadata_filtered_candidate_count,eligible_candidate_count,candidate_model_response_ids,ambiguity_reason
1,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,2,mri-behaviour-v4-release-schema-v2-1-001-open-weight-admin-competitive,release_schema_v2_1_open_weight_admin_competitive,,,,,6,0,6,6,790; 801; 812; 823; 834; 984,multiple candidates remain after exact available metadata and source-pair filters
2,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,3,mri-behaviour-v4-release-schema-v2-1-002-api-no-finetune-urgency,release_schema_v2_1_api_no_finetune_urgency,,,,,7,0,7,7,791; 802; 813; 824; 835; 842; 985,multiple candidates remain after exact available metadata and source-pair filters
3,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,4,mri-behaviour-v4-release-schema-v2-1-003-audit-vs-research-goodwill,release_schema_v2_1_audit_vs_research_goodwill,,,,,5,0,5,5,792; 803; 814; 825; 836,multiple candidates remain after exact available metadata and source-pair filters
4,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,5,mri-behaviour-v4-release-schema-v2-1-004-research-vs-partner-evaluation,release_schema_v2_1_research_vs_partner_evaluation,,,,,6,0,6,6,793; 804; 815; 826; 837; 843,multiple candidates remain after exact available metadata and source-pair filters
5,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,6,mri-behaviour-v4-release-schema-v2-1-005-external-research-direct,release_schema_v2_1_external_non_operational_research_direct,,,,,5,0,5,5,794; 805; 816; 827; 838,multiple candidates remain after exact available metadata and source-pair filters
6,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,7,mri-behaviour-v4-release-schema-v2-1-006-hosted-api-vs-fine-tuning,release_schema_v2_1_hosted_api_vs_fine_tuning,,,,,6,0,6,6,795; 806; 817; 828; 839; 844,multiple candidates remain after exact available metadata and source-pair filters
7,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,8,mri-behaviour-v4-release-schema-v2-1-009-agentic-scaffold-base-eval,release_schema_v2_1_agentic_scaffold_base_eval,,,,,5,0,5,5,796; 807; 818; 829; 840,multiple candidates remain after exact available metadata and source-pair filters
8,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,9,mri-behaviour-v4-release-schema-v2-1-010-emergency-defensive-api,release_schema_v2_1_emergency_defensive_api,,,,,6,0,6,6,797; 808; 819; 830; 841; 845,multiple candidates remain after exact available metadata and source-pair filters
9,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,10,mri-behaviour-v4-release-schema-v2-1-011-downloadable-adapter-authority,release_schema_v2_1_downloadable_adapter_authority,,,,,4,0,4,4,798; 809; 820; 831,multiple candidates remain after exact available metadata and source-pair filters
10,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,11,mri-behaviour-v4-release-schema-v2-1-012-limited-weight-transfer-partners,release_schema_v2_1_limited_weight_transfer_partners,,,,,4,0,4,4,799; 810; 821; 832,multiple candidates remain after exact available metadata and source-pair filters
11,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,12,mri-behaviour-v4-release-schema-v2-1-013-incomplete-threat-model-coverage,release_schema_v2_1_incomplete_threat_model_coverage,,,,,4,0,4,4,800; 811; 822; 833,multiple candidates remain after exact available metadata and source-pair filters
12,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
13,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
14,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
15,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
